player_id,year,name,position,target_tier
5672,2026,Jahmyr Gibbs,RB,1
5714,2026,Puka Nacua,WR,1
5177,2026,Ja'Marr Chase,WR,1
5671,2026,Jaxon Smith-Njigba,WR,1
5182,2026,Amon-Ra St. Brown,WR,1
4869,2026,CeeDee Lamb,WR,1
2885,2026,Josh Allen,QB,1
5652,2026,James Cook III,RB,2
5706,2026,Chase Brown,RB,2
5207,2026,Nico Collins,WR,2
5625,2026,Kenneth Walker III,RB,2
5656,2026,Trey McBride,TE,2
6178,2026,Brock Bowers,TE,2
6500,2026,Ashton Jeanty,RB,3
3247,2026,A.J. Brown,WR,3
6538,2026,Omarion Hampton,RB,3
5576,2026,George Pickens,WR,3
5544,2026,Chris Olave,WR,3
6769,2026,Jeremiyah Love,RB,3
5623,2026,Kyren Williams,RB,3
5185,2026,Javonte Williams,RB,3
4863,2026,Travis Etienne Jr.,RB,3
6559,2026,Luther Burden III,WR,3
6501,2026,Colston Loveland,TE,3
5675,2026,Zay Flowers,WR,4
4883,2026,DeVonta Smith,WR,4
6281,2026,Ladd McConkey,WR,4
2876,2026,DJ Moore,WR,4
5178,2026,Jaylen Waddle,WR,4
6776,2026,Jadarian Price,RB,4
2111,2026,Mike Evans,WR,4
5360,2026,Christian Watson,WR,4
6193,2026,Marvin Harrison Jr.,WR,4
5210,2026,Rhamondre Stevenson,RB,4
5588,2026,Wan'Dale Robinson,WR,4
5707,2026,Jayden Reed,WR,4
5680,2026,Josh Downs,WR,4
6576,2026,Emeka Egbuka,WR,5
6561,2026,Tetairoa McMillan,WR,5
3238,2026,David Montgomery,RB,5
3239,2026,DK Metcalf,WR,5
5705,2026,Parker Washington,WR,5
6175,2026,Brian Thomas Jr.,WR,5
6771,2026,Jordyn Tyson,WR,5
4888,2026,J.K. Dobbins,RB,5
2465,2026,Chris Godwin Jr.,WR,5
5721,2026,Michael Wilson,WR,5
6534,2026,Kyle Monangai,RB,5
5718,2026,Tucker Kraft,TE,5
6179,2026,Jonathon Brooks,RB,5
2499,2026,George Kittle,TE,5
5677,2026,Zach Charbonnet,RB,5
6768,2026,Carnell Tate,WR,6
4873,2026,Chuba Hubbard,RB,6
5443,2026,Jaylen Warren,RB,6
5674,2026,Quentin Johnston,WR,6
6772,2026,Makai Lemon,WR,6
6595,2026,Jacory Croskey-Merritt,RB,6
5965,2026,Blake Corum,RB,6
6529,2026,Woody Marks,RB,6
5717,2026,Chris Rodriguez Jr.,RB,6
5337,2026,Isiah Pacheco,RB,7
5982,2026,Keaton Mitchell,RB,7
